accuracy,precision,recall,f1,pr_auc,model,household,scenario,split_type,leak_start,leak_end
0.9999811289896461,0.9988412514484357,0.9976851851851852,0.998262883613202,0.9994815728655505,Gradient Boosting,hh-02,No missingness/original,stratified,2021-10-09 09:51:00+00:00,2021-10-11 09:50:00+00:00
0.9477524626668512,0.040730683781782274,0.3819444444444444,0.07361142092348874,0.045876903339724405,Isolation Forest best gamma=0.05,hh-02,No missingness/original,stratified,2021-10-09 09:51:00+00:00,2021-10-11 09:50:00+00:00
0.9945651490180785,0.0,0.0,0.0,,Majority baseline,hh-02,Single linear imputation,stratified,2021-10-09 09:51:00+00:00,2021-10-11 09:50:00+00:00
0.940178897178155,0.0,0.0,0.0,0.036294163168537896,Night threshold,hh-02,Single linear imputation,stratified,2021-10-09 09:51:00+00:00,2021-10-11 09:50:00+00:00
0.9999874193264308,1.0,0.9976851851851852,0.9988412514484357,1.0,Random Forest,hh-02,Single linear imputation,stratified,2021-10-09 09:51:00+00:00,2021-10-11 09:50:00+00:00
0.9999874193264308,1.0,0.9976851851851852,0.9988412514484357,1.0,Gradient Boosting,hh-02,Single linear imputation,stratified,2021-10-09 09:51:00+00:00,2021-10-11 09:50:00+00:00
0.9471108483148187,0.028617845538615346,0.2650462962962963,0.05165801939995488,0.042464767945846506,Isolation Forest best gamma=0.05,hh-02,Single linear imputation,stratified,2021-10-09 09:51:00+00:00,2021-10-11 09:50:00+00:00
0.9945651490180785,0.0,0.0,0.0,,Majority baseline,hh-02,Single forward-fill imputation,stratified,2021-10-09 09:51:00+00:00,2021-10-11 09:50:00+00:00
0.9389019588108747,0.0,0.0,0.0,0.036080035802914134,Night threshold,hh-02,Single forward-fill imputation,stratified,2021-10-09 09:51:00+00:00,2021-10-11 09:50:00+00:00
0.9999874193264308,1.0,0.9976851851851852,0.9988412514484357,1.0,Random Forest,hh-02,Single forward-fill imputation,stratified,2021-10-09 09:51:00+00:00,2021-10-11 09:50:00+00:00
0.9999874193264308,1.0,0.9976851851851852,0.9988412514484357,0.9999708994708995,Gradient Boosting,hh-02,Single forward-fill imputation,stratified,2021-10-09 09:51:00+00:00,2021-10-11 09:50:00+00:00
0.947073106294111,0.03163771712158809,0.2951388888888889,0.057149260421335724,0.04434222553141673,Isolation Forest best gamma=0.05,hh-02,Single forward-fill imputation,stratified,2021-10-09 09:51:00+00:00,2021-10-11 09:50:00+00:00
0.9945651490180785,0.0,0.0,0.0,,Majority baseline,hh-02,Single seasonal-profile imputation,stratified,2021-10-09 09:51:00+00:00,2021-10-11 09:50:00+00:00
0.9431101941197931,0.0,0.0,0.0,0.03842629287670721,Night threshold,hh-02,Single seasonal-profile imputation,stratified,2021-10-09 09:51:00+00:00,2021-10-11 09:50:00+00:00
0.9999874193264308,1.0,0.9976851851851852,0.9988412514484357,1.0,Random Forest,hh-02,Single seasonal-profile imputation,stratified,2021-10-09 09:51:00+00:00,2021-10-11 09:50:00+00:00
0.9999874193264308,1.0,0.9976851851851852,0.9988412514484357,0.9999579124579124,Gradient Boosting,hh-02,Single seasonal-profile imputation,stratified,2021-10-09 09:51:00+00:00,2021-10-11 09:50:00+00:00
